timestamp,m_arch,m_pretrain,m_finetune,p_type,p_task,layer0,layer1,layer4,layer5,layer6,layer10,layer11,layer12
2023_03_15-13_56,distilbert,mlm,none,cond,dep,0.6032677559186396,0.7572524174724908,0.8457485828609537,0.8297432477492498,0.8089696565521841,,,
2023_03_15-14_00,distilbert,mlm,mnli,cond,dep,0.6008002667555852,0.7461820606868956,0.8166722240746915,0.7911303767922641,0.7524174724908302,,,
2023_03_15-14_00,distilbert,mlm,distmnli,cond,dep,0.6009003001000334,0.7444148049349784,0.8199733244414805,0.7831610536845616,0.7357119039679894,,,
2023_03_15-14_02,bert,mlm,mnli,cond,dep,0.5973324441480493,0.7169056352117372,,,0.8217739246415472,0.8095365121707235,0.8033011003667889,0.791030343447816
2023_03_16-16_53,distilbert,mlm,mixedmnli,indiv,pos,0.8228409469823275,0.9058686228742915,0.9197399133044348,0.8955651883961321,0.8264421473824608,,,
2023_03_16-16_58,distilbert,mlm,mixedmnli,cond,pos,0.8228076025341781,0.9086362120706902,0.9349116372124041,0.9240746915638546,0.9053351117039014,,,
2023_03_16-17_01,distilbert,mlm,mixedmnli,indiv,dep,0.5983661220406802,0.73351117039013,0.8033344448149383,0.7417139046348783,0.6433811270423474,,,
2023_03_16-17_06,distilbert,mlm,mixedmnli,cond,dep,0.5998999666555519,0.7416805601867289,0.8180393464488163,0.7819606535511837,0.7251083694564855,,,
2023_03_17-15_25,distilbert,mlm,distmnli2,indiv,pos,0.8231077025675225,0.9063687895965322,0.9193731243747916,0.8913304434811604,0.8388796265421807,,,
2023_03_17-15_25,distilbert,mlm,mixedmnli2,indiv,pos,0.8217739246415472,0.904434811603868,0.9191063687895965,0.8949316438812938,0.8270423474491497,,,
2023_03_17-15_30,distilbert,mlm,distmnli2,cond,pos,0.8235411803934645,0.9108036012004002,0.9342447482494165,0.9238079359786595,0.9100700233411138,,,
2023_03_17-15_30,distilbert,mlm,mixedmnli2,cond,pos,0.8221740580193397,0.908536178726242,0.9353451150383462,0.9236412137379126,0.906868956318773,,,
2023_03_17-15_34,distilbert,mlm,distmnli2,indiv,dep,0.5983327775925309,0.736645548516172,0.8043681227075692,0.7467489163054352,0.672757585861954,,,
2023_03_17-15_34,distilbert,mlm,mixedmnli2,indiv,dep,0.5973991330443481,0.7361453817939313,0.8036678892964322,0.7400133377792597,0.6421140380126709,,,
2023_03_17-15_40,distilbert,mlm,distmnli2,cond,dep,0.5992664221407136,0.7473157719239747,0.8213404468156053,0.7847949316438813,0.7355785261753918,,,
2023_03_17-15_40,distilbert,mlm,mixedmnli2,cond,dep,0.5996665555185061,0.7423141047015672,0.8194398132710904,0.7811937312437479,0.724808269423141,,,
2023_03_18-15_19,distilbert,mlm,none,indiv,ner,0.9061701619276932,0.9404855992795045,0.9552631095263477,0.9516973918797214,0.9493079934567243,,,
2023_03_18-15_33,distilbert,mlm,none,cond,ner,0.906868601466723,0.9412759387578804,0.9559064091017699,0.9529104710790891,0.9526531512489201,,,
2023_03_18-15_52,bert,mlm,none,indiv,ner,0.9064458617457313,0.9348980829672653,,,0.954491150035841,0.9522671715036668,0.9504843126803536,0.9475067546455419
2023_03_18-16_05,bert,mlm,none,cond,ner,0.906427481757862,0.9361663021302405,,,0.9553182494899554,0.954491150035841,0.9527634311761354,0.9508702924256069
2023_03_18-17_31,distilbert,mlm,mixedmnli,indiv,ner,0.9062988218427775,0.9334460639255978,0.9454665759920599,0.9366074218391016,0.9215542117742203,,,
2023_03_18-17_32,distilbert,mlm,mnli,indiv,ner,0.9059863620490011,0.9356149024941643,0.9471023949124193,0.943003657617586,0.9349532229308729,,,
2023_03_18-17_33,bert,mlm,mnli,indiv,ner,0.9058393221460473,0.9304317459150477,,,0.952285551491536,0.9469369750215965,0.945301156101237,0.942562537908725
2023_03_18-17_42,distilbert,mlm,mixedmnli,cond,ner,0.9062988218427775,0.9348980829672653,0.9486095539176944,0.943628577205139,0.936294962045325,,,
2023_03_18-17_43,distilbert,mlm,mnli,cond,ner,0.9061517819398239,0.9370301615600933,0.9502269928501847,0.9479111143786645,0.943885897035308,,,
2023_03_18-17_47,bert,mlm,mnli,cond,ner,0.9056739022552245,0.9312404653812929,,,0.9528553311154815,0.9491609535537706,0.9482970941239178,0.9466980351792967
